level,word,part_of_speech,definition,synonyms,more_synonyms
16,dainty,adj,affectedly dainty or refined,"dainty, mincing, niminy-piminy, prim, twee","delicate, particular, delicate, captivating, discriminating, sweet"
16,debacle,n,a sudden and violent collapse,"debacle, fiasco","catastrophe, catastrophe, accident, disaster, calamity, downfall"
16,debilitate,v,make weak,"enfeeble, debilitate, drain","incapacitate, weaken, dull, disable, shame, depress"
16,debunk,v,expose while ridiculing; especially of pretentious or false claims and ideas,"debunk, expose","disprove, validate, humiliate, explain, find, discredit"
16,decadence,n,the state of being degenerate in mental or moral qualities,"degeneracy, degeneration, decadence, decadency","perversion, baseness, collapse, corruption, shame, deterioration"
16,decadent,adj,marked by excessive self-indulgence and moral decay,"decadent, effete","self-indulgent, corrupt, exhausted"
16,decimate,v,"kill one in every ten, as of mutineers in Roman armies",decimate,"destroy, destroy, conquer, destroy, take apart, discontinue"
16,decimation,n,destroying or killing a large part of the population (literally every tenth person as chosen by lot),decimation,"mass destruction, mass extermination, killing"
16,decry,v,express strong disapproval of,"condemn, reprobate, decry, objurgate, excoriate","criticize, belittle, detract, smear, diminish, blame"
16,deface,v,mar or spoil the appearance of,"deface, disfigure, blemish","mutilate, strike, flaw, blacken, call off, pollute"
16,deference,n,a courteous expression (by word or deed) of esteem or regard,"deference, respect","obedience, attention, respect, loyalty, courtesy, courtesy"
16,defile,v,place under suspicion or cast doubt upon,"defile, sully, corrupt, taint, cloud","violate, injure, debase, smear, adulterate, pollute"
16,deflate,v,collapse by releasing contained air or gas,deflate,"reduce, humiliate, weaken, fall apart, condense, disprove"
16,defray,v,bear the expenses of,defray,"pay, spend, give money, recover, compensate, pay out"
16,deft,adj,skillful in physical movements; especially of the hands,"deft, dexterous, dextrous","clever, talented, precise, able, skilled, nimble"
16,defunct,adj,no longer in force or use; inactive,defunct,"extinct, past, not alive, not working, dead, dead"
16,defuse,v,remove the triggering device from,defuse,disarm; smooth over
16,dehydrate,v,preserve by removing all water and liquids from,"dehydrate, desiccate","dry, condense, dry, sponge, dry up, dry"
16,delectable,adj,extremely pleasing to the sense of taste,,
16,deleterious,adj,harmful to living things,"deleterious, hurtful, injurious","harmful, harmful, injurious, vicious, damaging, hurtful"
16,delicacy,n,the quality of being beautiful and delicate in appearance,"daintiness, delicacy, fineness","daintiness, food, embarrassment, attractiveness, education, education"
16,delirium,n,state of violent mental agitation,"craze, delirium, frenzy, fury, hysteria","madness, delirium and tremors caused by alcohol withdrawal, bliss, temperature, agitation, drunkenness"
16,delude,v,be false to; be dishonest with,"deceive, lead on, delude, cozen","deceive, fool, fool, deceive, deceive, flatter"
16,deluge,n,an overwhelming number or amount,"flood, inundation, deluge, torrent","flood, inundate, overwhelm, mass, profusion, fall"
16,demean,v,"reduce in worth or character, usually verbally","take down, degrade, disgrace, demean, put down","humiliate, deprive of self-esteem, confidence, control, diminish, talk down to, comport oneself"
16,demeanor,n,(behavioral attributes) the way a person behaves toward other people,"demeanor, demeanour, behavior, behaviour, conduct, deportment","behavior, style, characteristic, feature, outlook, conduct"
16,depose,v,force to leave (an office),"depose, force out","dethrone, assert, vouch for, shame, oust, fire"
16,depreciate,v,belittle,"deprecate, depreciate, vilipend","devalue, belittle, debase, detract, diminish, make profitable"
16,derelict,n,"a person without a home, job, or property",derelict,"negligent, deserted, hobo, beggar, irresponsible, criminal"
16,derogatory,adj,expressive of low opinion,"derogative, derogatory, disparaging","offensive, fault-finding, libelous, debasing, hurtful, detrimental"
16,desist,v,choose not to consume,"abstain, refrain, desist","stop, stay away, stop, end, discontinue, stop"
16,desolate,adj,providing no shelter or sustenance,"bare, barren, bleak, desolate, stark","barren, depressed, destroy, separate, empty, sparse"
16,destitute,adj,poor enough to need help from others,"destitute, impoverished, indigent, necessitous, needy, poverty- stricken","wanting, hopeless, down and out, indebted, bum, lacking"
16,detriment,n,a damage or loss,"detriment, hurt","disadvantage, penalty, injury, lack, handicap, difficulty"
16,devout,adj,deeply religious,"devout, god-fearing","devoted, kind, committed, enthusiastic, enthusiastic, excited, religious"
16,dichotomy,n,being twofold; a classification into two opposed parts or subclasses,"dichotomy, duality",division
16,dictum,n,an authoritative declaration,"pronouncement, dictum, say-so","saying, decree, proverb, saying, principle, saying"
16,didactic,adj,instructive (especially excessively),"didactic, didactical",
16,dignitary,n,an important or influential (and often overbearing) person,"very important person, VIP, high-up, dignitary, panjandrum, high muckamuck","high ranking person, very important person, very important person, leader, celebrity, guider"
16,digress,v,"lose clarity or turn aside especially from the main subject of attention or course of argument in writing, thinking, or speaking","digress, stray, divagate, wander","deviate, diverge, stray, be distinct, branch off, be different"
16,dilate,v,become wider,"dilate, distend","stretch, billow, blow up, project, expand, discuss"
16,diorama,n,a picture (or series of pictures) representing a continuous scene,"panorama, cyclorama, diorama",scene
16,dirge,n,a song or hymn of mourning composed or performed as a memorial to a dead person,"dirge, coronach, lament, requiem, threnody","song, grief, grief, complaint, hymn, mass, worship place"
16,disband,v,cause to break up or cease to function,disband,"break up, separate, decommission, cripple, fall apart, send away"
16,discernment,n,the cognitive condition of someone who understands,"understanding, apprehension, discernment, savvy","intelligence, knowledge, intuition, ingenuity, understanding, understanding"
16,discontinuous,adj,of a function or curve; possessing one or more discontinuities,discontinuous,"broken, individual, disconnected, in a mess, unintelligible, irregular"
16,discord,v,be different from one another,"disagree, disaccord, discord",
16,disdain,v,look down on with disdain,"contemn, despise, scorn, disdain","hate, scorn, ego, disrespect, insult, insult"
16,disgruntle,,Synonyms:,"More Synonyms: dismay, make unhappy, displease","dismay, make unhappy, displease"
16,disillusion,v,free from enchantment,"disenchant, disillusion","dismay, displeasure, disappoint, alienate, disappoint, deflate"
16,disintegrate,v,break into parts or components or lose cohesion or unity,disintegrate,"fall apart, break down, destroy, blow, fall apart, break"
16,disinterest,n,tolerance attributable to a lack of involvement,"disinterest, neutrality","uncaring, ignoring, depression, disinterest, laziness, impartiality"
16,disinterest,,Synonyms:,"More Synonyms: uncaring, ignoring, depression, disinterest, laziness, impartiality","uncaring, ignoring, depression, disinterest, laziness, impartiality"
16,disparage,v,express a negative opinion of,"disparage, belittle, pick at","criticize, to denigrate, detract, condemn, diminish, discourage"
16,disprove,v,prove to be false,"disprove, confute","prove false, reply, weaken, disprove, vary, argue"
16,dissonance,n,a conflict of people’s opinions or actions or characters,"disagreement, dissension, dissonance","disagreement, noise, conflict, noise, conflict, conflict"
16,distillation,,,,
16,dither,v,act nervously; be undecided; be uncertain,dither,"clamor, disorientation, confusion, enthusiasm, commotion, perturbation"
16,diurnal,adj,of or belonging to or active during the day,diurnal,"every day, light"
16,divest,v,take away possessions from someone,"deprive, strip, divest","take, take away, dry, destroy, exclude, take apart"
16,divisive,adj,dissenting (especially dissenting with the majority opinion),"dissentious, divisive, factious","dissenting, conflicting"
16,dogmatic,adj,characterized by assertion of unproved or unprovable principles,"dogmatic, dogmatical","opinionated, truthful, dictatorial, aggressive, domineering, domineering"
16,domesticate,v,adapt (a wild plant or unclaimed land) to the environment,"domesticate, cultivate, naturalize, naturalise, tame","tame, control, conquer"
16,dovetail,v,"fit together tightly, as if by means of a dovetail",dovetail,"link, agree, correspond, agree, agree, interconnect"
16,downplay,v,represent as less significant or important,"understate, minimize, minimise, downplay","minimize, detract, lessen, mitigate, embarrass, underrate"
16,drab,adj,lacking in liveliness or charm or surprise,"drab, dreary","dull, uninterested, uninteresting, copper, depressing, white"
16,dreary,adj,lacking in liveliness or charm or surprise,"drab, dreary","gloomy, uninterested, hopeless, dull, barren, depressing"
16,drivel,v,let saliva drivel from the mouth,"drivel, drool, slabber, slaver, slobber, dribble","talk, talk, drool, chatting, use, nonsense"
16,dwindle,v,become smaller or lose substance,"dwindle, dwindle away, dwindle down","taper off, lessen, condense, deteriorate, lessen, make less"
16,earthy,adj,conspicuously and tastelessly indecent,"crude, earthy, gross, vulgar","unsophisticated, beastlike, rude, vulgar, of the land, sexy"
16,eccentricity,n,strange and unconventional behavior,eccentricity,"bizarreness, difference, difference, deviation, special case, craze"
16,edict,n,a formal or authoritative proclamation,edict,"pronouncement, document, proclamation, rule, demand, proclamation"
16,effusion,n,an unrestrained expression of emotion,"effusion, gush, outburst, blowup, ebullition","outpouring, emergence, concentrate, abundance, efflux, outflow"
16,egregious,adj,conspicuously and outrageously bad or reprehensible,"crying, egregious, flagrant, glaring, gross, rank","very bad, unreasonable, flaunting, disgusting, obvious, painful"
16,egress,,Synonyms:,"More Synonyms: exit, passageway, leaving, entrance, give off, come out","exit, passageway, leaving, entrance, give off, come out"
16,elitist,n,someone who believes in rule by an elite group,elitist,
16,eloquence,n,powerful and effective language,"eloquence, fluency, smoothness","wittiness, simplicity, articulation, articulation, public speaking, skill"
16,elude,v,"escape, either physically or mentally","elude, evade, bilk","avoid, stay away, perplex, fool, challenge, avoid"
16,emigrate,v,leave one’s country of residence for a new one,emigrate,"move, leave, migrate, depart, move, relocate"
